Hugo_Symbol	Entrez_Gene_Id	GTEX-S32W-1526-SM-4AD6Z	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ	GTEX-TML8-0726-SM-4DXTT	GTEX-T5JW-0726-SM-4DM6D	GTEX-S341-1126-SM-4AD6T	GTEX-T6MO-1426-SM-4DM73	GTEX-S341-1326-SM-4AD72	GTEX-S4UY-1426-SM-4AD6Y	GTEX-TSE9-2726-SM-4DXSQ	GTEX-S32W-1626-SM-4AD6G
KIF24	347240	11.3	4.86	53.19	8.99	18.29	6.73	24.46	66.18	4.58	7	7.4
TWIST2	117581	2502.97	3124.78	85.82	4123.49	1467.37	5479.15	1883.54	6471.02	2627.46	4972.34	2224.63
TBRG4	9238	791.35	511	728.11	603.67	1286.18	587.13	954.43	878.17	748.61	387.02	890.44
PKIB	5570	47.84	58.71	96.01	2645.74	124.37	189.02	406.31	497	158.79	62.56	157.68
DEFB1	1672	2400.97	0	117311.73	353.59	125731.67	642.59	51417.5	36106.23	128.79	1159.07	351.14
GCKR	2646	24.81	1.25	6.52	3.29	10.96	5.23	4.35	0.61	1.08	4.43	21.94
HNRNPF	3185	5479.15	2367.9	4481.23	3395.89	3690.52	3467.27	3589.58	4419.52	3690.52	2468.49	5517.27
MYBPC2	4606	1.03	1.62	76.17	0.56	50.63	0.54	34.51	24.99	0.51	4.62	1.04
GNAQ	2776	454.09	283.05	109.66	529.06	170.25	764.36	420.68	555.41	647.07	358.54	624.99
OLIG1	116448	0	0	7.82	0	1.58	0	8	9.85	6.67	0	0
PKNOX2	63876	142.01	412	0	406.31	0.15	215.77	19.68	44.25	273.37	297.17	47.5
EID2	163126	307.69	124.37	297.17	305.55	307.69	281.09	301.33	312	273.37	166.73	373.81
CD3G	917	4.31	7.28	206.94	48.52	389.72	48.87	28.04	57.08	24.28	1.69	17.64
MAN1A1	4121	1950	379.04	47.17	255	878.17	2875.3	283.05	269.6	1015.93	808	2119.22
KHDRBS1	10657	2796.65	3443.31	2682.69	3235.01	2271.4	3874.05	2682.69	3690.52	3491.39	3928.15	3018.3
CAGE1	285782	0.92	0	0	0	1.83	0.99	0	7.28	0	0	0.34
GZMB	3002	94.01	6.21	214.27	21.94	417.77	6.84	120.1	15.68	69.03	0	71
FASTKD5	60493	152.28	90.77	195.72	181.28	239.52	173.85	178.77	211.31	175.07	110.43	236.21
TMPRSS5	80975	1.93	16.88	1.95	29.7	5.59	23.93	13.93	8.06	8.32	6.41	3.69
TPCN2	219931	231.32	212.78	53.95	283.05	118.43	120.94	152.28	104.42	265.87	226.54	229.72
PCSK1	5122	177.53	1.16	8.25	23.59	12.55	3.56	2.84	0.54	5.92	1.85	297.17
ACOT1	641371	99.43	34.51	40.07	285.03	67.59	226.54	71	127	142.01	34.51	84.04
MSI2	124540	215.77	209.84	271.48	232.94	387.02	301.33	866.07	1369.04	255	186.4	320.8
COQ10A	93058	244.57	242.88	77.25	314.17	177.53	323.03	470.14	624.99	277.2	242.88	287.01
GIGYF2	26058	403.5	395.18	381.68	291.04	417.77	595.34	503.95	718.08	567.1	525.39	620.67
NDUFAF6	137682	228.13	366.09	242.88	255	368.65	260.38	363.56	483.38	262.2	316.37	301.33
PIGS	94005	733.19	376.41	1417.35	620.67	1437.15	718.08	629.35	842.36	656.11	341.51	791.35
GIF	2694	0.21	0.21	0	1.46	1.38	0.79	0.69	2.18	0.77	2.97	0.31
MLH1	4292	961.07	480.04	129.69	718.08	148.09	348.71	209.84	363.56	934.76	902.89	599.49
CTD-2587H24.4	0	0	0	0	1.03	0	1	0	8.58	0	0	0
DOCK1	1793	490.14	688.78	480.04	921.88	1066.48	1081.39	947.83	764.36	1427.22	866.07	587.13
BMP7	655	218.79	376.41	23009.42	10440.2	19214.73	1008.9	10659.59	16496.96	819.3	111.99	941.27
RP11-434D12.1	0	52.45	0	10.16	50.98	40.36	0	0	0	10.16	1.73	24.28
ANKRD63	100131244	1.48	0	0	0	0	0	0	0	0	0	0
FAM217B	63939	62.56	31	67.59	98.73	107.38	133.36	131.51	208.38	100.83	46.84	118.43
PRND	23627	8.85	4.58	4.46	4.28	3.11	3.06	3.59	3	4.17	5.06	11.38
ZBTB34	403341	31.22	27.05	54.33	56.28	47.5	48.18	108.9	87.65	41.52	28.04	62.56
SYT4	6860	5.36	0.82	0	8.06	0	3.06	0	126.12	0	0.27	5.41
SRM	6723	8305.36	1923.14	934.76	2855.44	1397.83	1977.24	1151.06	825	2178.83	1551.09	5147.73
ACOT4	122970	19.25	4.58	76.17	24.11	92.05	10.55	65.26	127.89	12.18	4.98	20.11
APLF	200558	13.93	37.32	92.05	63.89	204.07	32.59	44.57	52.82	43.63	61.25	22.92
MPDU1	9526	1286.18	454.09	2240.11	1662.49	2485.67	1096.5	1277.29	1457.23	1745.2	460.44	1277.29
DPP9	91039	753.83	299.25	603.67	540.19	616.37	457.25	647.07	503.95	660.68	273.37	547.75
TCEA1	6917	1628.26	1583.71	2004.85	1457.23	1359.57	2178.83	1159.07	1685.71	1561.89	1794.29	1832.01
MX1	4599	376.41	460.44	41475.31	438.59	2835.7	476.71	503.95	1407.55	567.1	334.46	412
AGPAT2	10555	2047	1369.04	2148.82	1781.89	2875.3	1088.92	3564.78	4972.34	1745.2	1066.48	1104.13
BAHD1	22893	343.89	265.87	295.11	358.54	172.65	258.57	387.02	348.71	285.03	249.73	387.02
NSUN2	54888	1127.35	825	796.86	718.08	1427.22	612.11	420.68	728.11	638.15	830.75	974.5
SEC22A	26984	559.28	358.54	373.81	353.59	642.59	312	158.79	218.79	152.28	279.14	497
WDR25	79446	463.65	267.73	87.65	432.53	156.59	314.17	327.56	500.46	384.34	242.88	301.33
GALNT12	79695	102.25	363.56	1030.12	1697.45	860.08	325.29	669.92	1304.15	1183.45	463.65	101.54
VPS13B	157680	194.36	231.32	84.63	341.51	191.67	329.84	260.38	234.57	358.54	275.28	187.71
CLVS1	157807	1.22	5.45	84.63	4.78	27.64	1.28	6.84	8.71	1.25	11.73	1.23
WDR77	79084	1216.75	353.59	947.83	698.41	1135.2	813.63	555.41	540.19	723.08	318.57	1151.06
JARID2	3720	98.04	18.84	665.29	109.66	387.02	103.69	123.5	106.63	120.94	18.03	103.69
INS	3630	2.43	1.51	15.34	0.92	1.81	1.31	0.87	2.71	2.92	0.47	1.08
VWA5A	4013	314.17	60.82	1088.92	163.28	571.05	571.05	1277.29	928.3	130.6	25.91	599.49
CACNA1A	773	0.91	102.25	0.4	58.3	10.24	15.11	16.88	2.97	35.5	14.24	10.08
HELZ	9931	80.57	176.29	57.49	104.42	61.68	134.3	130.6	197.09	194.36	178.77	111.99
NHLRC1	378884	15.45	22.26	21.16	36.79	217.27	36.79	32.13	61.25	36.53	10.96	19.97
TSHZ3	57616	275.28	121.79	1.77	536.45	8.65	432.53	334.46	1508.65	457.25	152.28	289.02
RHEBL1	121268	15.68	13.22	38.12	8.71	25.17	21.16	29.27	28.45	37.85	7.28	9.48
AVPR1A	552	113.56	54.33	4.94	180.02	15.22	113.56	42.71	63	134.3	49.56	242.88
DAXX	1616	1015.93	1066.48	559.28	1617	854.13	995	872.1	928.3	738.29	884.29	1119.56
CXorf56	63932	332.14	336.79	220.32	392.44	429.54	514.56	339.14	651.58	521.76	305.55	262.2
ZNF154	7710	8.06	5.11	8.32	11.73	15.68	13.72	76.71	70.01	15.45	4.43	12.74
NDUFAF7	55471	209.84	191.67	113.56	209.84	172.65	169.07	239.52	204.07	134.3	239.52	318.57
LAYN	143903	232.94	848.22	98.73	145.02	166.73	234.57	318.57	183.82	256.78	1104.13	305.55
PTGDR2	11251	0.61	4.7	2.36	9.13	4.13	7.75	23.59	8.99	8.06	4.62	1.45
EIF2D	1939	718.08	2090.03	466.88	583.07	884.29	1175.27	1175.27	1268.46	941.27	2047	785.88
MBTPS1	8720	1340.84	1457.23	392.44	2090.03	961.07	1674.06	1794.29	2178.83	1477.58	1313.23	1457.23
GMPPB	29925	961.07	182.55	500.46	769.69	463.65	297.17	470.14	480.04	332.14	221.86	738.29
RNF219	79596	169.07	116.78	36.01	202.66	180.02	199.85	136.19	149.12	199.85	193.01	206.94
SPINK5	11005	3.38	5.11	1997825.68	15.11	726195.27	4.98	92.7	224.97	14.89	15.8	4.31
ZNF143	7702	518.15	638.15	389.72	353.59	429.54	409.15	205.5	435.55	316.37	587.13	473.41
ERI1	90459	236.21	70.51	98.73	177.53	69.52	111.99	128.79	229.72	111.21	110.43	293.07
SESN3	143686	49.91	136.19	514.56	429.54	341.51	120.1	723.08	318.57	205.5	232.94	132.44
MED10	84246	599.49	813.63	343.89	656.11	884.29	620.67	974.5	595.34	703.28	764.36	703.28
LCK	3932	144.01	12.83	163.28	94.01	249.73	98.04	204.07	138.1	97.36	14.24	108.14
CNBP	7555	5751.61	16045.82	7966.99	9474.59	11664.82	12589.08	9344.14	9673.69	9606.86	15715.58	8963.45
SYTL3	94120	51.35	72.01	94.67	50.98	397.93	96.68	708.18	688.78	33.54	42.11	42.71
ALDH2	217	2287.2	3039.3	4903.87	1044.52	2645.74	2835.7	8191	1561.89	1936.53	1540.37	4450.27
MSL2	55167	264.03	150.17	126.12	412	241.19	575.03	343.89	579.04	267.73	177.53	379.04
ORAI2	80228	616.37	100.13	38.67	470.14	44.57	164.42	303.44	371.22	329.84	107.38	387.02
CXorf36	79742	909.17	159.9	34.26	775.05	102.25	438.59	688.78	251.48	995	178.77	1030.12
TRIT1	54802	264.03	389.72	476.71	303.44	884.29	325.29	249.73	409.15	318.57	435.55	228.13
IARS	3376	909.17	665.29	540.19	842.36	660.68	579.04	423.61	656.11	633.73	738.29	743.43
FLNB	2317	473.41	796.86	1051.79	563.18	1225.22	674.59	753.83	651.58	660.68	536.45	473.41
LDB2	9079	497	579.04	20.26	1081.39	84.04	713.11	1340.84	764.36	1286.18	579.04	780.44
SIAH1	6477	603.67	1151.06	232.94	476.71	384.34	660.68	796.86	624.99	723.08	1437.15	629.35
KRTAP19-3	337970	0	0	0	0	0	2.61	0	4.03	0	0	2.73
RP13-996F3.4	0	2.12	3.08	0.44	0	6.41	0	1.43	1.35	0	5.5	1.64
LMAN1L	79748	14.56	4.94	11.21	43.63	10.63	6.46	1.93	8.06	0.27	19.53	0.51
DSE	29940	229.72	1709.26	95.34	246.28	277.2	1208.34	808	698.41	353.59	3395.89	285.03
NR2F6	2063	733.19	260.38	2434.5	802.41	1304.15	366.09	934.76	669.92	395.18	221.86	708.18
ITSN2	50618	281.09	379.04	2434.5	303.44	967.76	420.68	518.15	525.39	435.55	417.77	384.34
C11orf30	56946	214.27	358.54	79.45	130.6	85.82	228.13	153.34	220.32	195.72	291.04	295.11
ZHX1	11244	603.67	336.79	1242.34	620.67	1151.06	612.11	253.23	395.18	387.02	543.96	825
CDK11A	984	728.11	1259.69	403.5	251.48	363.56	595.34	967.76	669.92	638.15	1175.27	543.96
MFSD9	84804	204.07	58.3	199.85	94.01	171.45	159.9	152.28	275.28	178.77	123.5	185.11
SERINC5	256987	131.51	40.64	1233.75	279.14	466.88	120.94	204.07	1322.37	674.59	96.68	123.5
NDRG3	57446	395.18	791.35	327.56	559.28	366.09	1015.93	708.18	813.63	743.43	813.63	503.95
PRMT10	90826	157.68	191.67	85.82	157.68	141.02	204.07	148.09	159.9	164.42	189.02	186.4
KRTAP3-2	83897	0	0	4.13	0	6.36	0	4.1	4.86	0	3.82	0
RPL9	6133	102125.66	299043.36	56657.31	46986.85	68793.23	80125.95	94628.34	87681.42	67377.47	231394.29	111755.56
AREL1	9870	187.71	163.28	199.85	195.72	314.17	244.57	220.32	285.03	239.52	183.82	190.34
KIF20A	10112	0	9.7	307.69	28.04	96.01	12.83	36.27	13.42	13.42	0	13.32
DDX56	54606	2133.97	1745.2	872.1	1268.46	1733.13	1119.56	1923.14	1685.71	1175.27	1447.15	1806.78
RAP2A	5911	262.2	103.69	320.8	237.86	193.01	275.28	191.67	221.86	271.48	149.12	363.56
GPR124	25960	1066.48	1268.46	22.1	6983.79	764.36	2875.3	3716.2	2555.58	2777.33	1350.18	1044.52
RP11-126K1.2	0	17.77	36.79	36.53	39.5	31.9	29.7	19.39	24.11	27.05	0	32.13
POLR3D	661	753.83	460.44	314.17	435.55	299.25	148.09	215.77	169.07	190.34	466.88	674.59
MINPP1	9562	299.25	108.9	66.65	339.14	116.78	332.14	299.25	316.37	323.03	173.85	366.09
HTR1A	3350	4.24	0	0	0	0	3.26	0	0	0.95	0	0.93
RHOH	399	60.82	8.32	73.54	76.17	251.48	289.02	132.44	162.14	35	35.5	52.82
FSCN3	29999	3.14	1.17	5.45	3.44	10.08	1.85	5.06	3.44	1.6	0.14	5.15
C2orf81	388963	43.94	100.83	6.46	559.28	42.71	125.24	575.03	1909.85	260.38	64.34	61.68
AC011294.3	0	0	10.63	0	1.6	0	3.08	127.89	120.1	3.76	0	1.51
NOC4L	79050	866.07	728.11	211.31	587.13	599.49	414.87	423.61	376.41	532.74	514.56	830.75
S100A1	6271	32.36	105.15	1991	7966.99	503.95	251.48	13306.94	76.71	7130.55	76.17	1059.11
NCKAP5	344148	23.93	9.85	131.51	10	92.7	14.56	3.76	10.55	12.55	81.71	34.26
CHRNA2	1135	3.72	0	4.35	0.78	2.68	1.11	1.08	0	0.74	0.38	1.07
BOP1	23246	1487.87	356.05	551.56	470.14	808	384.34	353.59	426.57	346.29	417.77	934.76
LIM2	3982	0	0	0	0	0	11.04	0	0	0	0	0
GNAL	2774	88.88	169.07	444.72	115.97	126.12	185.11	163.28	95.34	79.45	320.8	149.12
RAET1E	135250	19.97	4.62	309589.14	13.62	65082.31	9.2	11.73	18.43	4.54	0	38.95
TCTN1	79600	688.78	1119.56	75.11	1605.83	371.22	403.5	1617	3820.7	476.71	624.99	466.88
PAXIP1	22976	138.1	122.64	147.06	121.79	157.68	157.68	165.57	191.67	129.69	159.9	147.06
ZNF581	51545	466.88	1498.22	624.99	567.1	629.35	607.87	1183.45	1498.22	669.92	1417.35	348.71
C15orf37	0	29.06	39.22	9.2	10.55	10.79	63.45	49.21	124.37	32.36	18.29	45.85
POLR1E	64425	651.58	1769.57	384.34	536.45	387.02	703.28	486.75	723.08	521.76	1639.59	579.04
ZNF235	9310	18.97	18.16	37.85	56.28	33.54	54.33	57.89	137.14	40.07	15.45	44.89
PRMT8	56341	4.7	0	3.63	3.35	0	11.55	75.64	432.53	1.79	0	1.77
C10orf25	220979	22.92	18.43	2.18	55.89	13.93	65.26	19.68	32.59	39.5	36.79	16.27
KLHDC4	54758	368.65	400.71	341.51	224.97	1369.04	466.88	432.53	529.06	301.33	353.59	289.02
CBLB	868	397.93	638.15	39.5	198.47	246.28	400.71	536.45	647.07	297.17	660.68	409.15
ATG16L1	55054	346.29	128.79	172.65	273.37	217.27	283.05	277.2	397.93	224.97	91.41	334.46
CALCB	797	32.36	1.93	1.36	10.24	15.8	0	5.92	16.03	2.05	10.39	629.35
NBPF12	0	91.41	89.51	20.71	77.25	133.36	100.83	134.3	205.5	92.7	103.69	112.77
SGSM3	27352	1023	1733.13	1208.34	1378.57	1457.23	808	2224.63	2163.77	890.44	1617	836.53
SLC9C2	284525	5.96	1.14	2.01	1.89	0	12.83	6.84	37.85	6.11	0	6.73
AC018867.2	0	0	0	0	0	0	0	0	0	0	0	0
CLASP1	23332	320.8	239.52	497	412	314.17	500.46	381.68	376.41	529.06	194.36	409.15
ST8SIA5	29906	0.97	10.47	3.03	35.25	6.46	1.14	33.3	21.63	8.19	5.96	4.1
SYNPO2L	79933	1.1	0	185.11	1.31	0.38	0.99	0.04	0.92	0.92	0	0
NYX	60506	0	0.97	0	0	0	0	1.01	0	1.01	0	1
HFE	3077	62.12	66.65	46.18	202.66	67.59	93.35	351.14	232.94	241.19	22.26	72.52
FOXD4L1	200350	4.06	3.99	0.45	4.9	1.99	3.06	2.16	4.62	2.56	0.32	2.51
PPT2	9374	500.46	703.28	217.27	483.38	232.94	555.41	551.56	500.46	483.38	743.43	376.41
ASF1B	55723	40.93	11.13	1008.9	37.32	133.36	30.12	34.51	52.45	20.11	23.42	42.11
ALDH16A1	126133	785.88	878.17	521.76	713.11	743.43	884.29	1044.52	1977.24	854.13	825	559.28
EFNA1	1942	1529.73	497	4769.75	532.74	4298.64	547.75	2573.36	1322.37	1551.09	403.5	1769.57
TMEM130	222865	63.45	241.19	10.24	563.18	20.26	111.99	97.36	98.04	507.46	532.74	86.43
SUN1	23353	1208.34	2351.53	1923.14	2133.97	1397.83	2573.36	2384.37	2758.13	2875.3	2502.97	1359.57
GOLGA8T	653073	0.53	7.28	1.38	8.51	1.99	9.7	2.41	5.92	3.11	4.17	2.25
AC016251.1	0	0	0	0	0	0	0	0	0	0	1.99	0
AC010547.9	0	7.22	1.3	1.08	5.96	4.94	14.14	33.06	71	12.64	4.1	8.51
LRRC29	26231	34.51	101.54	46.84	84.63	101.54	98.04	214.27	82.87	115.97	88.88	71
UBXN2A	165324	187.71	187.71	214.27	264.03	255	232.94	145.02	148.09	301.33	190.34	339.14
CYP4Z1	199974	4.94	11.82	2.63	0.31	15	13.03	25.91	69.52	3.72	1.69	3.32
KAT2A	2648	1015.93	1709.26	432.53	718.08	723.08	708.18	1037.29	890.44	723.08	1447.15	713.11
CAMKK2	10645	547.75	656.11	191.67	775.05	336.79	684.02	563.18	514.56	503.95	583.07	603.67
EYS	346007	0	0.26	0.45	0	2.41	0.33	1.57	2.07	3.2	1.87	1.07
PDIA2	64714	12.74	46.18	26.1	236.21	6.73	3.2	16.88	1.75	47.5	30.56	1.07
LHFPL1	340596	3.56	1.17	4.35	1.3	0	0	13.03	33.3	5.68	1.83	6.62
PILRA	29992	67.59	291.04	97.36	161.02	29.48	78.89	848.22	103.69	61.68	249.73	68.55
LRRC66	339977	1.79	0.12	2.18	13.72	2.32	21.47	47.5	38.12	26.47	0.27	17.13
CSH2	1442	0	0	0	0	0	0	0	87.03	25.54	0	4.78
CREB3L4	148327	343.89	493.56	540.19	511	414.87	414.87	3257.52	2335.28	599.49	400.71	463.65
OXA1L	5018	1963.57	5292.48	1745.2	1806.78	2758.13	2384.37	4268.94	3372.43	2384.37	5041.77	1950
CBWD3	55871	138.1	175.07	183.82	72.01	146.03	60.39	37.05	102.25	84.04	191.67	65.26
KBTBD8	84541	7.28	0.69	13.72	10	7.63	5.96	2.39	13.72	3.69	0.68	4.03
PAK6	56924	21.94	11.38	1023	71.5	941.27	69.52	175.07	358.54	31.67	16.39	35.25
DNAJC19	131118	1037.29	1697.45	289.02	836.53	842.36	878.17	1073.91	1037.29	728.11	1923.14	1216.75
MAD2L1	4085	48.52	128.79	802.41	77.25	232.94	67.12	112.77	201.25	65.26	78.89	73.03
KM-PA-2	0	218.79	400.71	162.14	16.75	466.88	0	53.19	403.5	0	133.36	37.32
XAGE1A	9503	0	0	34.26	0	0	17.9	0	0	10.47	5.28	0.79
MATN4	8785	1.1	67.59	6.06	563.18	6.31	14.56	35.5	12.64	23.08	68.07	7.22
ZNF699	374879	8.45	2.71	8.45	17.25	14.03	37.05	25.35	50.27	38.67	2.97	31.22
PRKACA	5566	3928.15	1923.14	1378.57	2664.15	848.22	2609.3	1407.55	1628.26	2351.53	1781.89	3325.99
RPUSD3	285367	483.38	1159.07	599.49	356.05	915.51	460.44	802.41	470.14	500.46	995	591.22
TTF1	7270	318.57	409.15	155.5	275.28	409.15	432.53	336.79	483.38	341.51	447.82	353.59
SMARCA5	8467	450.94	540.19	395.18	647.07	295.11	540.19	371.22	540.19	490.14	595.34	532.74
UTP14C	9724	239.52	84.63	102.25	318.57	141.02	241.19	115.16	275.28	194.36	111.99	303.44
GPR149	344758	1.62	0	0.73	0	0.69	0.3	0	1.33	0	0	0.62
MCM10	55388	1.07	2.39	84.04	3.89	6.26	10	0	3.32	11.64	0	3.69
CAP2	10486	708.18	135.24	41.52	503.95	68.07	842.36	249.73	329.84	693.58	48.87	988.12
SLC29A3	55315	269.6	170.25	15.8	336.79	55.49	189.02	214.27	303.44	265.87	145.02	239.52
U2AF1	7307	5441.3	4419.52	2537.92	2976.74	2739.08	4358.66	3665.02	3540.14	4066.71	3928.15	4869.99
GTSCR1	220158	0	0	0	0	0	0	0	0	0	0	0
SOCS3	9021	3639.7	733.19	647.07	1216.75	432.53	435.55	1757.34	1183.45	723.08	633.73	4769.75
C6orf165	154313	23.93	0.57	4.35	9.48	1.71	5.63	68.07	19.97	7.46	0	7.28
SHISA9	729993	10.71	2.71	0	39.79	2.68	13.83	0	4.86	35.76	3.38	106.63
SLC12A9	56996	647.07	384.34	221.86	420.68	361.04	463.65	325.29	351.14	346.29	295.11	493.56
ZNF69	7620	60.39	57.89	22.43	18.16	8.99	384.34	2303.12	2555.58	283.05	51.71	37.59
EFNB2	1948	346.29	48.52	872.1	679.29	2591.27	521.76	723.08	1605.83	384.34	92.7	514.56
C8orf44-SGK3	23678	3.38	9.41	2.48	14.14	14.56	0	0	0	0	2.12	4.9
ADAMTSL1	92949	67.12	49.56	2.86	293.07	0.62	33.54	151.22	83.45	172.65	72.01	201.25
SBP1	0	0	0	0	1.53	0	0	0	0	0	0	0
DAZAP1	26528	2367.9	1721.16	2193.99	1183.45	2520.38	1369.04	1617	1407.55	1313.23	1745.2	2367.9
GLOD5	392465	0	0	74.58	0	0	0	248	785.88	0	0	0
LPIN3	64900	83.45	201.25	607.87	55.89	536.45	131.51	316.37	239.52	84.63	221.86	87.65
ATXN7L2	127002	108.14	309.83	53.19	111.21	115.16	116.78	141.02	116.78	145.02	236.21	111.99
ELAVL1	1994	1651	647.07	848.22	1417.35	848.22	1001.93	866.07	1008.9	1119.56	796.86	1583.71
HSD17B3	3293	34.51	74.58	2.29	26.86	5.32	27.25	341.51	287.01	22.75	125.24	24.63
APOBEC3F	200316	114.36	34.75	98.04	325.29	102.97	264.03	156.59	356.05	165.57	81.71	147.06
C7orf33	202865	0	0	0	0	0	0	0	0	0	0	0
EFS	10278	961.07	1529.73	435.55	1709.26	909.17	514.56	603.67	348.71	571.05	1709.26	363.56
FBXO30	84085	84.63	55.1	32.82	89.51	47.84	137.14	76.71	71.5	120.94	61.68	111.99
RP11-1070N10.3	0	2.97	31	0	12.18	5.23	13.12	8.78	8.51	13.83	3.44	9.78
RNASE6	6039	159.9	87.65	76.17	447.82	289.02	273.37	693.58	486.75	183.82	80.01	194.36
RNF146	81847	551.56	1572.76	177.53	1008.9	423.61	988.12	1340.84	1096.5	1199.98	2047	688.78
AKAP9	10142	244.57	400.71	532.74	366.09	616.37	540.19	703.28	848.22	423.61	486.75	346.29
ST7	7982	403.5	500.46	204.07	713.11	417.77	567.1	470.14	559.28	384.34	547.75	403.5
NXNL1	115861	0	0	1.35	0	0	0	2.18	1.39	1.22	0	0
ZNF644	84146	503.95	457.25	248	376.41	616.37	769.69	532.74	595.34	532.74	559.28	521.76
ZNF329	79673	260.38	12.45	61.68	269.6	141.02	312	147.06	450.94	432.53	18.29	237.86
CCR8	1237	0	0	0	16.51	0	24.63	0	0	15	0	14.56
CUL5	8065	234.57	178.77	104.42	264.03	312	307.69	241.19	312	269.6	149.12	248
OOSP1	0	0	0	0	0	0	5.02	0	0	0	0	0
GTF2E2	2961	723.08	791.35	872.1	738.29	860.08	543.96	429.54	583.07	555.41	1639.59	669.92
DPM1	8813	1313.23	974.5	1104.13	1037.29	981.29	941.27	860.08	728.11	909.17	836.53	1551.09
GDAP1L1	78997	96.01	23.59	5.41	72.01	3.41	70.01	36.01	27.64	460.44	21.63	53.57
HIST4H4	8294	15.45	41.52	265.87	13.52	24.11	14.56	37.85	84.63	20.11	16.75	7.69
KLRC3	3823	16.88	0	2.89	4.24	21.01	4.74	4.54	0	4.03	4.24	16.39
FUNDC2	65991	5954.47	7966.99	633.73	4388.98	1819.35	3564.78	2915.45	2537.92	3515.68	5872.48	6164.49
SERTAD2	9792	239.52	466.88	4268.94	329.84	947.83	212.78	231.32	228.13	223.41	500.46	438.59
LYRM1	57149	1127.35	2367.9	961.07	764.36	688.78	1662.49	1096.5	791.35	1111.82	1378.57	1583.71
BAG1	573	2090.03	3928.15	3467.27	1794.29	8363.13	2148.82	3212.66	5672.41	2796.65	3614.55	2451.44
CD4	920	204.07	105.15	144.01	1572.76	255	273.37	1059.11	571.05	147.06	134.3	339.14
C19orf52	90580	289.02	180.02	518.15	490.14	329.84	279.14	341.51	420.68	395.18	205.5	269.6
NCAN	1463	0.39	9.85	0.02	0.46	0	0.44	0.4	0	0.41	2.63	1.48
CPEB1	64506	228.13	872.1	1.13	231.32	21.32	441.64	435.55	551.56	890.44	961.07	149.12
PRKD3	23683	271.48	269.6	100.13	351.14	73.03	529.06	387.02	612.11	334.46	332.14	275.28
CCDC74B	90557	197.09	629.35	23.08	4869.99	134.3	536.45	1617	3303	412	684.02	209.84
HRK	8739	3.32	0	0.39	0	35.76	7.06	2.14	144.01	3.44	0	1.08
ATPIF1	93974	5292.48	6840.04	11992.79	7911.95	9025.81	5751.61	13872.08	14361.31	5633.22	3742.05	6381.92
ARMCX6	54470	1709.26	1037.29	1233.75	4769.75	813.63	1561.89	2520.38	1857.6	2240.11	775.05	1437.15
ASB12	142689	0	0	12.09	0	0	0	48.18	0	23.59	0	31
DACH1	1602	15.91	8.71	36.01	316.37	387.02	73.54	4512.4	3690.52	33.54	54.72	73.03
NTHL1	4913	995	629.35	981.29	890.44	642.59	1167.14	1001.93	1540.37	1127.35	647.07	583.07
OBP2A	29991	0	0	0	97.36	281.09	713.11	0	346.29	0	0	0
QRFP	347148	32.59	0	0	28.86	0	16.15	3.76	8.51	3.17	20.41	21.16
AC007952.6	0	53.95	14.78	14.67	36.79	1.51	7.57	36.01	14.89	35.76	12.18	11.38
MAGEE2	139599	6.52	3.96	0.67	6.78	1.75	5.32	3.63	9.27	8.99	1.48	9.56
AC018445.1	0	0	0	0	0	0	0	0	0	0	0	0
SFRP1	6422	25887.07	23330.64	2976.74	46339.95	11189.6	28923.41	5441.3	14765.09	14361.31	21919.61	18052.61
MIS18A	54069	152.28	130.6	429.54	154.42	187.71	206.94	121.79	206.94	173.85	221.86	242.88
RTN1	6252	84.63	1250.98	8.99	170.25	24.11	123.5	293.07	307.69	376.41	981.29	137.14
MAS1L	116511	1.85	2.63	0	2.34	1.2	3.86	0	3.72	2.18	2.53	0.99
CNNM2	54805	62.56	151.22	47.17	115.97	49.56	114.36	90.77	149.12	91.41	126.12	70.51
THAP5	168451	265.87	191.67	88.88	307.69	161.02	395.18	211.31	397.93	297.17	281.09	476.71
FAM200B	285550	764.36	2537.92	555.41	616.37	967.76	1073.91	1963.57	2163.77	1015.93	2163.77	1225.22
COX7C	1350	26800.01	76330.98	16611.71	15075.35	23169.48	21468.49	26986.43	28132.47	21617.82	63742.91	24153.43
MTL5	9633	49.56	9.2	536.45	38.4	260.38	9.27	432.53	217.27	84.04	20.71	45.85
TMEM74	157753	1.95	6.62	33.54	28.65	17.13	11.64	1.14	0	2.03	0	16.27
SPEM1	374768	2.25	0.55	0	0	0	1.87	0	0	0	0	1.95
IL17F	112744	0	0	0	0	0	3.29	0	6.94	0	0	4.21
ZBTB1	22890	312	314.17	273.37	381.68	387.02	426.57	698.41	551.56	289.02	309.83	406.31
ACR	49	12.45	11.38	4.78	19.39	36.79	56.28	45.53	7.51	41.81	13.12	3.03
TMEM86A	144110	44.89	44.57	389.72	84.04	217.27	120.1	171.45	178.77	191.67	42.71	67.59
IVL	3713	1.38	1.97	74979869.6	0	42471742.56	0	0.32	0	1.48	2.61	0.55
CBX3	11335	4328.55	2682.69	2468.49	2451.44	1572.76	2367.9	2485.67	2627.46	2997.45	3018.3	3716.2
GLP1R	2740	2.86	0	1.23	0	0	0	52.45	1	0	0	0
